date,phong_ban,sum_duration
2020-04-05,wo_others,84077.62
2020-04-05,wo_ksnn,30310.14
2020-04-05,wo_co_dien,53129.38
2020-04-05,wo_noc,15323.85
2020-04-06,wo_others,84095.07
2020-04-06,wo_ksnn,29419.77
2020-04-06,wo_vt_cntt,144.0
2020-04-06,wo_ktts,24.0
2020-04-06,wo_co_dien,52425.74
2020-04-06,wo_noc,14070.21
2020-04-07,wo_others,88231.95
2020-04-07,wo_ktts,24.0
2020-04-07,wo_vt_cntt,144.0
2020-04-07,wo_ksnn,27540.3
2020-04-07,wo_co_dien,51514.04
2020-04-07,wo_noc,13315.41
2020-04-08,wo_others,94307.21
2020-04-08,wo_noc,13984.84
2020-04-08,wo_ksnn,26097.31
2020-04-08,wo_vt_cntt,144.0
2020-04-08,wo_co_dien,50428.99
2020-04-08,wo_ktts,24.0
2020-04-09,wo_vt_cntt,144.0
2020-04-09,wo_ktts,24.0
2020-04-09,wo_noc,13450.23
2020-04-09,wo_co_dien,48872.54
2020-04-09,wo_ksnn,24273.68
2020-04-09,wo_others,98682.95
2020-04-10,wo_co_dien,47137.13
2020-04-10,wo_vt_cntt,127.42
2020-04-10,wo_ktts,24.0
2020-04-10,wo_noc,12935.3
2020-04-10,wo_others,103195.67
2020-04-10,wo_ksnn,21919.28
2020-04-11,wo_ksnn,20582.37
2020-04-11,wo_noc,12793.73
2020-04-11,wo_others,107671.74
2020-04-11,wo_ktts,24.0
2020-04-11,wo_vt_cntt,120.0
2020-04-11,wo_co_dien,46203.43
2020-04-12,wo_ksnn,19222.95
2020-04-12,wo_noc,12959.26
2020-04-12,wo_ktts,24.0
2020-04-12,wo_others,109497.56
2020-04-12,wo_co_dien,45885.55
2020-04-12,wo_vt_cntt,120.0
2020-04-13,wo_noc,11797.25
2020-04-13,wo_vt_cntt,120.0
2020-04-13,wo_co_dien,45578.61
2020-04-13,wo_ksnn,17672.55
2020-04-13,wo_ktts,24.0
2020-04-13,wo_others,115183.79
2020-04-14,wo_others,126108.04
2020-04-14,wo_vt_cntt,120.0
2020-04-14,wo_ksnn,14818.01
2020-04-14,wo_co_dien,44102.99
2020-04-14,wo_ktts,24.0
2020-04-14,wo_noc,10579.8
2020-04-15,wo_noc,10701.89
2020-04-15,wo_ktts,24.0
2020-04-15,wo_vt_cntt,120.0
2020-04-15,wo_others,133332.9
2020-04-15,wo_ksnn,11199.36
2020-04-15,wo_co_dien,42848.66
2020-04-16,wo_ksnn,31173.73
2020-04-16,wo_noc,10094.77
2020-04-16,wo_co_dien,41448.57
2020-04-16,wo_ktts,24.0
2020-04-16,wo_vt_cntt,120.0
2020-04-16,wo_others,151608.08
2020-04-17,wo_others,167658.99
2020-04-17,wo_ksnn,37957.45
2020-04-17,wo_co_dien,39952.6
2020-04-17,wo_noc,10507.33
2020-04-17,wo_ktts,24.0
2020-04-17,wo_vt_cntt,120.0
2020-04-18,wo_vt_cntt,146.69
2020-04-18,wo_ksnn,36929.36
2020-04-18,wo_noc,11022.29
2020-04-18,wo_others,169079.02
2020-04-18,wo_co_dien,38906.1
2020-04-18,wo_ktts,24.0
2020-04-19,wo_noc,11297.1
2020-04-19,wo_others,166739.27
2020-04-19,wo_ksnn,36034.72
2020-04-19,wo_vt_cntt,166.26
2020-04-19,wo_co_dien,38224.22
