,date,phong_ban,sum_duration
424,2020-01-29,wo_vt_cntt,72645.85
425,2020-03-20,wo_vt_cntt,76218.05
426,2020-04-01,wo_ktts,24.0
427,2020-10-21,wo_others,351165.72
428,2020-07-27,wo_noc,23238.17
429,2020-10-02,wo_noc,20829.0
430,2020-12-25,wo_noc,23030.71
431,2020-09-19,wo_ksnn,50205.51
432,2020-08-11,wo_vt_cntt,168.0
433,2020-09-20,wo_vt_cntt,192.0
434,2020-03-29,wo_vt_cntt,2038.19
435,2020-03-08,wo_ktts,24.0
436,2020-05-10,wo_co_dien,293349.29
437,2020-05-12,wo_noc,16435.21
438,2020-05-24,wo_noc,17920.79
439,2020-09-30,wo_noc,22227.3
440,2020-11-03,wo_noc,18619.66
441,2020-09-25,wo_ksnn,49530.27
442,2020-12-20,wo_ksnn,57766.68
443,2020-08-14,wo_vt_cntt,165.53
444,2020-03-22,wo_others,183231.7
445,2020-07-09,wo_co_dien,246923.54
446,2020-07-13,wo_co_dien,313330.87
447,2020-08-01,wo_noc,23271.0
448,2020-11-26,wo_ksnn,76965.72
449,2020-04-21,wo_vt_cntt,144.0
450,2020-08-28,wo_vt_cntt,192.0
451,2020-11-10,wo_vt_cntt,168.0
452,2020-06-07,wo_ktts,96.0
453,2020-03-09,wo_others,199577.39
454,2020-03-27,wo_noc,14532.61
455,2020-04-27,wo_co_dien,30977.66
456,2020-10-11,wo_co_dien,82373.79
457,2020-05-04,wo_noc,12455.82
458,2020-11-13,wo_others,334060.11
459,2020-12-16,wo_others,321394.74
460,2020-12-10,wo_noc,21860.95
461,2020-08-22,wo_vt_cntt,192.0
462,2020-09-13,wo_vt_cntt,168.0
463,2020-10-15,wo_ktts,360.0
464,2020-01-05,wo_ksnn,2008.04
465,2020-01-01,wo_noc,1825.36
466,2020-01-28,wo_others,13267.5
467,2020-07-24,wo_others,282580.33
468,2020-01-23,wo_co_dien,22954.02
469,2020-01-27,wo_co_dien,12880.61
470,2020-07-06,wo_noc,26025.55
471,2020-07-21,wo_vt_cntt,192.0
472,2020-09-19,wo_co_dien,119158.49
473,2020-11-18,wo_ksnn,53396.91
474,2020-01-19,wo_ksnn,5800.95
475,2020-03-18,wo_ksnn,20549.92
476,2020-01-03,wo_others,1822.48
477,2020-05-21,wo_others,279953.48
478,2020-06-19,wo_others,251705.07
479,2020-08-15,wo_others,378147.96
480,2020-12-14,wo_others,322324.77
481,2020-01-28,wo_noc,31082.07
482,2020-09-05,wo_noc,21507.35
483,2020-12-23,wo_noc,22264.23
484,2020-02-20,wo_vt_cntt,79461.2
485,2020-03-10,wo_vt_cntt,76248.0
486,2020-06-20,wo_vt_cntt,144.0
487,2020-10-04,wo_vt_cntt,192.0
488,2020-07-26,wo_ktts,120.0
489,2020-03-28,wo_others,153156.88
490,2020-10-10,wo_others,419112.81
491,2020-07-17,wo_noc,23151.5
492,2020-07-29,wo_noc,21758.57
493,2020-08-15,wo_vt_cntt,144.0
494,2020-11-02,wo_vt_cntt,168.0
495,2020-12-17,wo_vt_cntt,144.0
496,2020-05-23,wo_ktts,72.0
497,2020-01-01,wo_others,308.45
498,2020-01-21,wo_others,14276.67
499,2020-04-25,wo_others,155658.65
500,2020-05-02,wo_others,126092.69
501,2020-05-08,wo_others,281937.82
502,2020-11-29,wo_others,256105.47
503,2020-02-11,wo_co_dien,114953.76
504,2020-02-11,wo_noc,14086.64
505,2020-03-23,wo_noc,13716.67
506,2020-06-10,wo_noc,20699.58
507,2020-10-26,wo_noc,18512.14
508,2020-05-11,wo_ksnn,21998.91
509,2020-01-26,wo_vt_cntt,56309.78
510,2020-12-21,wo_vt_cntt,192.0
511,2020-12-23,wo_vt_cntt,192.0
512,2020-04-22,wo_co_dien,35479.21
513,2020-11-28,wo_co_dien,87396.09
514,2020-09-12,wo_ktts,360.0
515,2020-02-18,wo_ksnn,18349.95
516,2020-03-02,wo_others,71018.54
517,2020-09-30,wo_others,275060.03
518,2020-01-21,wo_noc,23823.93
519,2020-11-13,wo_noc,19651.99
520,2020-12-21,wo_noc,22027.3
521,2020-05-06,wo_ksnn,26625.48
522,2020-03-23,wo_co_dien,77858.01
523,2020-05-21,wo_ktts,72.0
524,2020-08-15,wo_ktts,360.0
525,2020-03-16,wo_co_dien,105485.47
526,2020-11-12,wo_co_dien,146352.43
527,2020-04-15,wo_others,133332.9
528,2020-04-26,wo_ksnn,31026.87
529,2020-10-08,wo_ksnn,50960.8
530,2020-05-03,wo_vt_cntt,144.0
531,2020-05-30,wo_vt_cntt,144.0
532,2020-08-18,wo_vt_cntt,189.3
533,2020-05-28,wo_ktts,96.0
534,2020-03-12,wo_others,204426.34
535,2020-04-10,wo_vt_cntt,127.42
536,2020-04-12,wo_vt_cntt,120.0
537,2020-03-22,wo_ktts,24.0
538,2020-03-30,wo_noc,13981.72
539,2020-10-23,wo_noc,19850.22
540,2020-10-11,wo_ksnn,46038.44
541,2020-08-13,wo_vt_cntt,168.0
542,2020-02-12,wo_co_dien,111991.65
543,2020-04-14,wo_noc,10579.8
544,2020-04-18,wo_co_dien,38906.1
545,2020-05-07,wo_co_dien,308271.73
546,2020-06-28,wo_co_dien,152773.34
547,2020-07-18,wo_co_dien,281050.57
548,2020-07-30,wo_co_dien,129203.51
549,2020-08-14,wo_co_dien,157189.7
550,2020-09-09,wo_others,421513.54
551,2020-06-21,wo_noc,23260.12
552,2020-05-23,wo_ksnn,35641.62
553,2020-08-09,wo_ksnn,48236.07
554,2020-10-23,wo_ksnn,32610.81
555,2020-07-12,wo_vt_cntt,144.0
556,2020-12-17,wo_ktts,384.0
557,2020-03-28,wo_ksnn,35166.76
558,2020-02-11,wo_ktts,9.44
559,2020-01-04,wo_noc,11700.22
560,2020-02-06,wo_ksnn,30237.11
561,2020-01-31,wo_others,13783.32
562,2020-08-03,wo_others,251037.9
563,2020-01-18,wo_noc,23982.14
564,2020-09-25,wo_noc,21853.29
565,2020-04-16,wo_ksnn,31173.73
566,2020-08-12,wo_vt_cntt,168.0
567,2020-10-26,wo_vt_cntt,168.0
568,2020-04-08,wo_co_dien,50428.99
569,2020-10-30,wo_co_dien,49263.31
570,2020-04-18,wo_ktts,24.0
571,2020-06-27,wo_ktts,120.0
572,2020-08-17,wo_ktts,360.0
573,2020-08-25,wo_ktts,360.0
574,2020-09-05,wo_ktts,360.0
575,2020-01-14,wo_co_dien,149917.05
576,2020-02-01,wo_co_dien,8269.2
577,2020-01-25,wo_noc,29327.46
578,2020-03-04,wo_noc,15236.94
579,2020-08-17,wo_noc,25820.7
580,2020-10-14,wo_ksnn,48720.45
581,2020-02-07,wo_vt_cntt,75925.49
582,2020-02-13,wo_vt_cntt,75363.06
583,2020-05-25,wo_co_dien,216203.61
584,2020-09-11,wo_ktts,360.0
585,2020-10-03,wo_ktts,360.0
586,2020-12-14,wo_ksnn,60607.57
587,2020-03-04,wo_others,141248.15
588,2020-09-03,wo_noc,21702.96
589,2020-07-23,wo_vt_cntt,192.0
590,2020-09-17,wo_vt_cntt,144.0
591,2020-10-20,wo_vt_cntt,192.0
592,2020-04-09,wo_co_dien,48872.54
593,2020-08-22,wo_co_dien,126211.1
594,2020-12-18,wo_co_dien,153404.4
595,2020-03-31,wo_noc,13669.5
596,2020-11-01,wo_co_dien,58617.94
597,2020-11-14,wo_co_dien,141158.57
